hotel_id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,40.64749,-73.97237,149,1,9,0.21,6,365
2595,2845,40.75362,-73.98377,225,1,45,0.38,2,355
3647,4632,40.80902,-73.9419,150,3,0,,1,365
3831,4869,40.68514,-73.95976,89,1,270,4.64,1,194
5022,7192,40.79851,-73.94399,80,10,9,0.1,1,0
5099,7322,40.74767,-73.975,200,3,74,0.59,1,129
5121,7356,40.68688,-73.95596,60,45,49,0.4,1,0
5178,8967,40.76489,-73.98493,79,2,430,3.47,1,220
5203,7490,40.80178,-73.96723,79,2,118,0.99,1,0
5238,7549,40.71344,-73.99037,150,1,160,1.33,4,188
5295,7702,40.80316,-73.96545,135,5,53,0.43,1,6
5441,7989,40.76076,-73.98867,85,2,188,1.5,1,39
5803,9744,40.66829,-73.98779,89,4,167,1.34,3,314
6021,11528,40.79826,-73.96113,85,2,113,0.91,1,333
6090,11975,40.7353,-74.00525,120,90,27,0.22,1,0
6848,15991,40.70837,-73.95352,140,2,148,1.2,1,46
7097,17571,40.69169,-73.97185,215,2,198,1.72,1,321
7322,18946,40.74192,-73.99501,140,1,260,2.12,1,12
7726,20950,40.67592,-73.94694,99,3,53,4.44,1,21
7750,17985,40.79685,-73.94872,190,7,0,,2,249
7801,21207,40.71842,-73.95718,299,3,9,0.07,1,0
8024,22486,40.68069,-73.97706,130,2,130,1.09,6,347
8025,22486,40.67989,-73.97798,80,1,39,0.37,6,364
8110,22486,40.68001,-73.97865,110,2,71,0.61,6,304
8490,25183,40.68371,-73.94028,120,2,88,0.73,2,233
8505,25326,40.65599,-73.97519,60,1,19,1.37,2,85
8700,26394,40.86754,-73.92639,80,4,0,,1,0
9357,30193,40.76715,-73.98533,150,10,58,0.49,1,75
9518,31374,40.86482,-73.92106,44,3,108,1.11,3,311
9657,21904,40.7292,-73.98542,180,14,29,0.24,1,67
9668,32294,40.82245,-73.95104,50,3,242,2.04,3,355
9704,32045,40.81305,-73.95466,52,2,88,1.42,1,255
9782,32169,40.72219,-73.93762,55,4,197,1.65,3,284
9783,32294,40.8213,-73.95318,50,3,273,2.37,3,359
10452,35935,40.6831,-73.95473,70,1,74,0.66,2,269
10962,9744,40.66869,-73.9878,89,4,168,1.41,3,340
11452,7355,40.68876,-73.94312,35,60,0,,1,365
11708,44145,40.70186,-73.92745,85,2,231,1.96,2,22
11943,45445,40.63702,-73.96327,150,1,0,,1,365
12048,7549,40.71401,-73.98917,40,1,214,1.81,4,188
12192,46978,40.7229,-73.98199,68,2,245,2.08,2,96
12299,47610,40.66278,-73.97966,120,3,15,0.39,1,345
12303,47618,40.69673,-73.97584,120,7,25,0.23,1,311
12318,16800,40.79009,-73.97927,135,4,81,0.69,1,273
12343,47727,40.81175,-73.94478,150,7,97,0.84,1,309
12627,49670,40.65944,-73.96238,150,29,11,0.49,1,95
12937,50124,40.74771,-73.9474,130,3,248,2.25,1,215
12940,50148,40.68111,-73.95591,110,7,61,0.52,1,265
13050,50846,40.68554,-73.9409,115,3,11,0.1,1,0
13394,52335,40.69142,-73.97376,80,3,135,1.16,2,192
13808,54275,40.68043,-73.93934,80,1,112,1.01,3,251
14287,56094,40.78635,-73.97008,151,2,73,0.63,1,302
14290,56104,40.7042,-73.9356,228,3,82,0.7,1,140
14314,56246,40.73506,-73.95392,144,2,328,2.82,1,234
14322,56284,40.73961,-73.98074,200,7,19,0.22,1,257
14377,56512,40.70881,-73.9593,150,30,105,0.9,1,30
14991,59023,40.72004,-73.99104,110,5,19,0.17,1,301
15220,59734,40.75531,-73.99293,69,2,289,2.49,2,294
15338,32169,40.72401,-73.93788,49,4,138,1.19,3,320
15341,60049,40.7221,-73.99775,180,30,21,0.3,1,154
15385,60252,40.71185,-73.96204,80,2,42,0.38,1,263
15396,60278,40.74623,-73.9953,375,180,5,0.12,1,180
15711,61491,40.77065,-73.95269,250,2,66,0.57,2,231
16326,63588,40.67811,-73.96428,200,30,143,1.33,2,297
16338,63613,40.69,-73.96788,55,7,27,0.23,2,292
16421,63924,40.75979,-73.99119,52,30,191,1.65,1,191
16458,64056,40.67343,-73.98338,225,3,4,0.16,1,0
16580,64442,40.72649,-73.97904,80,1,338,4.72,2,72
16595,64522,40.70933,-73.96792,275,1,148,1.4,1,362
16821,4396,40.72298,-73.98474,99,1,106,1.26,2,336
16974,65837,40.80164,-73.93922,225,4,190,1.64,1,215
17037,66035,40.72162,-73.98008,230,9,49,0.43,1,116
17092,66243,40.76342,-73.98865,51,7,23,0.43,1,88
17693,68428,40.83139,-73.94095,65,2,49,1.6,2,336
17747,68599,40.68346,-73.96374,105,2,105,0.92,1,304
18127,69829,40.72828,-73.98801,190,5,21,0.2,1,224
18152,69942,40.76865,-73.95058,200,1,142,1.5,1,322
18198,70091,40.75038,-73.90334,70,30,25,0.22,1,324
18590,71512,40.6932,-73.97267,95,3,143,1.28,1,132
18728,71876,40.74138,-74.00197,150,3,167,1.65,1,295
18764,72014,40.71154,-73.96112,145,3,61,0.54,4,238
19159,73051,40.82915,-73.95136,110,31,54,0.49,1,209
19169,73128,40.71851,-73.98892,285,5,70,0.62,1,328
19282,73469,40.65401,-73.96323,130,6,16,0.15,1,38
19319,44263,40.7114,-73.98794,94,30,94,0.84,1,188
19601,74303,40.69723,-73.99268,800,1,25,0.24,1,7
19812,74857,40.71833,-73.95748,105,3,61,0.53,1,272
20299,62407,40.72334,-73.9844,60,3,194,1.73,1,26
20300,76627,40.72912,-73.98057,50,1,2,0.05,1,0
20611,72014,40.71156,-73.96218,85,3,174,1.54,4,288
20724,961342,40.70032,-73.9383,65,4,24,0.28,1,317
20734,78460,40.68233,-73.97261,131,4,166,3.4,1,207
20755,51038,40.68634,-73.966,98,7,16,0.2,6,185
20853,79070,40.68035,-73.97162,250,7,21,0.3,1,158
20913,79402,40.70984,-73.95775,100,5,168,1.57,1,0
21293,44145,40.70093,-73.92609,105,3,118,1.05,2,9
21456,42032,40.79764,-73.96177,140,3,81,0.71,1,198
21644,82685,40.82803,-73.94731,89,1,1,0.11,1,365
21794,83257,40.74008,-74.00271,98,30,30,0.27,2,364
22911,87773,40.68413,-73.92357,125,7,139,1.23,2,311
22918,32294,40.82279,-73.95139,60,3,11,0.87,3,219
23135,11481,40.67967,-74.00154,175,2,233,2.09,3,342
23501,63318,40.83927,-73.94281,65,2,68,0.6,1,312
23686,93790,40.73096,-74.00319,500,4,46,0.55,2,243
24143,97219,40.71332,-73.94177,101,3,335,3.02,1,152
24285,97797,40.66941,-73.98109,220,30,88,0.79,1,9
25235,87773,40.68373,-73.92377,125,90,162,1.46,2,137
25406,105538,40.71459,-73.94844,80,30,29,0.4,1,222
25696,107628,40.8092,-73.94421,100,2,170,1.61,1,346
26012,109589,40.68157,-73.98989,200,30,19,0.2,1,208
26362,59734,40.75527,-73.99291,59,2,334,3,2,279
26520,51038,40.68698,-73.96572,125,2,19,0.2,6,250
26559,112793,40.7288,-73.98192,140,7,12,0.13,1,164
26785,42273,40.66853,-73.98912,120,30,467,4.22,2,192
26933,72062,40.7254,-73.98157,350,2,7,0.06,4,298
26954,115157,40.74294,-73.98009,199,5,38,0.38,1,260
26969,115307,40.71942,-73.95748,325,3,324,3.01,1,107
27006,115560,40.77823,-73.97637,235,6,27,0.27,1,199
27385,72062,40.72555,-73.97965,225,1,115,1.05,4,299
27531,118971,40.66831,-73.98604,99,2,354,3.2,3,20
27644,119510,40.82754,-73.94919,170,2,195,2.03,1,318
27659,119588,40.66499,-73.97925,400,2,16,0.24,2,216
27759,119900,40.77842,-73.97556,170,7,13,0.12,1,224
27883,120223,40.72245,-73.98527,100,4,25,0.23,1,0
28321,65091,40.65593,-73.96053,75,2,9,0.08,1,324
28396,6197784,40.71923,-73.96468,90,1,9,0.08,1,245
28907,124352,40.778,-73.94822,150,5,21,0.19,1,189
29012,124797,40.85879,-73.93128,85,15,36,0.33,1,307
29013,35935,40.68332,-73.9547,70,3,63,0.58,2,310
29455,126607,40.81618,-73.94894,120,3,155,1.42,3,213
29628,127608,40.68414,-73.96351,89,3,260,2.35,1,278
29683,125857,40.72392,-73.99143,185,5,73,0.66,1,209
30031,129352,40.73494,-73.9503,50,3,193,1.86,1,0
30927,120335,40.71341,-73.98856,105,3,32,0.29,1,16
31130,117287,40.76754,-73.98399,130,2,50,0.45,3,234
31555,135619,40.73442,-74.00303,115,29,26,0.25,1,12
31902,137292,40.63188,-73.93248,77,2,2,0.02,1,178
31994,137814,40.6873,-73.9634,76,2,426,3.89,3,275
32023,137974,40.68296,-73.93662,125,3,227,2.09,2,163
32037,116599,40.6863,-73.96765,135,4,84,0.77,3,365
32100,138579,40.73409,-73.95348,250,29,3,0.03,1,34
32289,139612,40.71561,-73.94835,199,3,10,0.1,1,280
32331,139874,40.6857,-73.99183,140,2,4,0.04,1,0
32363,140025,40.74028,-73.83168,140,2,1,0.01,1,1
32965,137974,40.68281,-73.93524,115,3,124,1.72,2,170
32969,142833,40.71596,-73.93938,160,3,11,0.11,1,188
33009,143027,40.71492,-73.95935,195,4,240,2.19,1,214
33014,143048,40.72354,-73.98295,195,3,30,0.28,1,248
33223,72014,40.71165,-73.96087,80,3,200,1.86,4,262
34760,149929,40.69101,-73.97312,44,8,27,1.05,5,280
35526,120291,40.73474,-74.00101,156,4,79,0.74,1,307
36121,62165,40.67386,-73.96641,85,15,9,0.09,1,339
36133,142684,40.71536,-73.96057,125,3,155,1.61,1,1
36442,137432,40.6741,-73.96595,115,15,4,0.05,1,269
36647,157798,40.79295,-73.93997,69,2,34,0.32,1,10
36703,158284,40.73226,-74.00401,225,45,134,1.24,1,312
36934,159370,40.71363,-73.96398,125,6,27,0.25,1,189
38638,92788,40.77711,-73.9527,219,4,126,1.16,2,290
38663,165789,40.68559,-73.98094,475,3,23,0.27,1,230
39267,168417,40.77456,-73.95323,99,1,234,2.6,2,164
39282,168525,40.71088,-73.95055,69,4,202,1.86,2,53
39593,110506,40.74559,-73.92313,79,30,28,0.26,1,126
39704,170510,40.68306,-73.94659,135,2,309,2.86,2,3
40039,171851,40.70207,-73.98571,250,3,14,0.13,1,189
40453,174025,40.76123,-73.9642,250,3,4,0.08,1,365
41348,180083,40.66858,-73.99083,250,2,80,2.17,1,0
41513,181167,40.82704,-73.94907,80,3,2,0.04,1,0
42580,137814,40.68843,-73.96408,70,2,294,3.47,3,336
42729,11481,40.6783,-74.00135,165,2,150,1.4,3,342
42882,185978,40.64524,-74.08088,70,2,166,1.66,1,312
43957,177536,40.70641,-73.91765,50,2,47,0.94,1,37
44096,190409,40.83232,-73.93184,40,1,219,2.04,3,353
44161,193360,40.71045,-73.9677,150,2,193,1.78,1,177
44212,72062,40.72518,-73.98034,125,1,84,0.78,4,310
44221,193722,40.70666,-74.01374,196,3,114,1.06,1,0
44229,181376,40.69098,-73.97113,110,2,213,2,2,321
44288,193637,40.73756,-74.00405,170,3,86,0.8,1,246
44506,126607,40.81526,-73.94791,165,3,80,0.75,3,231
45393,201297,40.73423,-74.0046,150,26,38,0.36,1,225
45542,202249,40.82374,-73.9373,100,2,18,1.79,1,0
45556,67778,40.68863,-73.97691,65,2,206,1.92,2,0
45910,204539,40.70382,-73.89797,350,8,10,0.11,5,365
45936,867225,40.80549,-73.95924,99,4,122,1.18,2,233
45940,204724,40.71627,-73.9587,200,4,33,0.58,1,1
46544,8198,40.67994,-73.97863,150,5,52,0.5,1,18
46723,209460,40.67992,-73.9475,90,3,126,1.17,4,343
46911,210746,40.67868,-73.97307,120,3,51,0.48,3,250
47199,212722,40.76834,-73.95334,75,3,199,1.85,1,326
47362,214148,40.68237,-73.9415,175,26,30,0.29,1,364
47370,214287,40.74031,-73.99999,125,3,3,0.03,1,0
47926,218404,40.76307,-73.99665,275,1,41,0.38,1,299
48719,221873,40.71882,-73.98852,299,2,109,1.04,1,207
50447,9744,40.6693,-73.98804,135,5,151,1.43,3,162
51438,236421,40.77333,-73.95199,130,14,0,,2,0
51485,236655,40.72319,-73.99201,83,1,285,2.69,1,7
51572,237329,40.74859,-73.99671,123,1,375,3.52,1,328
51850,27848,40.67252,-73.76597,55,2,52,0.49,2,365
53137,240360,40.76244,-73.99271,195,5,10,1.01,1,0
53196,247432,40.69546,-73.93503,80,2,11,0.48,1,0
53469,204539,40.71722,-73.87856,98,30,33,0.31,5,240
53470,204539,40.70234,-73.89816,140,7,6,0.06,5,365
53477,204539,40.71546,-73.87854,265,7,38,0.38,5,365
54158,10889,40.7195,-73.95976,249,2,358,3.44,2,164
54453,255583,40.76548,-73.98474,105,6,10,0.09,1,363
54466,253385,40.80234,-73.95603,200,30,0,,1,365
54508,210746,40.6787,-73.97262,100,2,226,2.12,3,250
54544,256161,40.81035,-73.94598,121,1,104,1,5,247
54626,190409,40.83075,-73.93058,45,1,138,1.45,3,323
54860,258164,40.79958,-73.94275,100,5,204,1.92,1,192
55467,260709,40.71625,-73.93845,140,2,253,3.04,1,125
55498,262138,40.6829,-73.93549,71,2,23,0.22,1,91
55668,88209,40.72773,-73.99134,130,2,115,1.17,1,75
55737,263414,40.72861,-74.0049,199,5,129,1.22,1,286
55959,168525,40.70979,-73.95162,69,4,82,1.13,2,60
55982,264928,40.68656,-73.97525,68,3,37,0.35,1,0
56467,267593,40.72752,-73.98432,130,1,204,2.04,1,192
56525,268014,40.729,-73.95829,195,2,69,0.65,1,58
56859,256161,40.81219,-73.94499,64,1,192,1.84,5,245
57166,272006,40.77185,-73.90502,140,2,17,0.16,1,292
57297,199392,40.68926,-73.99386,159,2,222,2.12,1,279
57468,239208,40.72821,-73.98701,189,3,205,1.96,1,0
57618,274557,40.7672,-73.98508,250,3,94,0.96,1,3
57740,275459,40.73012,-73.99053,239,3,7,0.07,1,351
57754,275578,40.7403,-73.98498,305,2,108,1.09,1,201
57874,276291,40.80931,-73.94343,155,3,222,2.1,2,232
58059,277379,40.8251,-73.94287,60,1,458,4.58,2,258
58062,277394,40.6585,-73.98397,135,2,21,0.26,1,272
58467,279797,40.76193,-73.9501,120,7,17,0.3,1,341
59014,282927,40.72052,-73.98589,150,3,41,0.39,1,244
59121,204539,40.70411,-73.89934,140,14,1,0.01,5,365
59642,274782,40.73401,-73.95967,135,2,69,0.67,1,12
59709,186084,40.71756,-73.99503,250,4,18,0.18,2,265
59855,288031,40.7589,-73.96991,250,30,82,0.78,1,0
60164,289653,40.72003,-74.00262,500,4,94,0.99,1,329
60457,99212,40.73194,-73.99474,225,5,10,0.1,1,91
60611,292204,40.79163,-73.94573,125,28,183,1.83,2,365
60666,256161,40.8118,-73.94434,92,1,189,1.82,5,253
60673,249372,40.81583,-73.94707,175,2,1,0.11,1,365
60680,292630,40.72654,-73.98049,99,2,127,1.22,1,320
60794,293394,40.80021,-73.96071,195,4,4,0.04,1,0
60948,126607,40.80942,-73.93936,140,3,135,1.3,3,192
61167,295760,40.71961,-73.9954,135,2,21,0.2,1,0
61224,291112,40.74358,-74.00027,500,2,35,0.34,1,348
61406,297176,40.80335,-73.9575,80,14,10,2.21,2,0
61492,297769,40.71445,-73.9908,120,4,171,1.8,2,353
61509,23619,40.75749,-73.96897,110,200,92,0.9,1,140
62095,281764,40.64446,-73.9503,65,3,238,2.3,1,2
62427,303882,40.7268,-73.99079,130,50,56,0.58,1,56
62430,197755,40.688,-73.9171,99,3,111,2.13,1,68
62452,303939,40.63536,-74.08537,36,2,193,1.85,6,360
62461,303939,40.63627,-74.08543,37,2,147,1.44,6,0
62787,303939,40.63518,-74.08546,37,2,177,1.71,6,320
62891,306545,40.72477,-73.98161,175,3,185,1.78,2,326
62903,306605,40.74238,-73.99567,205,9,62,0.7,2,76
62925,306739,40.72945,-73.95511,285,3,124,1.22,3,279
63299,308875,40.70763,-73.95177,59,2,181,1.77,2,15
63320,303939,40.63481,-74.08519,36,2,333,3.19,6,340
63360,307962,40.75384,-73.91433,99,5,441,4.5,1,226
63546,308652,40.64106,-73.97426,39,1,45,0.46,2,365
63573,310458,40.66793,-73.98327,60,14,9,0.09,2,0
63588,295128,40.81309,-73.85514,90,2,0,,7,349
63610,310670,40.88057,-73.83572,105,2,38,0.5,13,365
63657,170510,40.68236,-73.94314,135,2,248,2.39,2,11
63693,306545,40.72185,-73.98246,390,5,143,1.38,2,316
63719,311286,40.68503,-73.95385,70,3,36,0.41,4,281
63913,312288,40.86648,-73.9263,75,7,0,,2,323
64000,312722,40.7069,-73.95467,60,17,14,0.14,4,362
64015,146944,40.72807,-73.98594,200,3,0,,1,0
64107,313317,40.6778,-73.94339,100,3,279,2.69,1,301
64277,311286,40.68317,-73.94701,70,4,18,0.22,4,189
64314,314256,40.6761,-73.9529,110,6,50,3.55,1,0
64365,314582,40.67586,-73.95155,60,2,227,2.27,2,287
64707,7310,40.71702,-73.99811,90,14,1,0.16,1,14
64837,46978,40.72321,-73.98157,68,2,203,1.96,2,86
65019,317809,40.77956,-73.98098,115,2,210,2.1,1,261
65268,319092,40.68276,-73.95264,75,5,64,0.67,1,68
